"TaxID"	"ID"	"StudyAcc"	"SubmitterAcc"	"Organism"	"Date"	"UpdateDate"	"Company"	"Model"	"Bases"	"Description"	"Design"	"Center"	"ContactName"	"Laboratory"	"LibraryName"	"LibraryStrategy"	"LibrarySource"	"LibrarySelection"	"bioProj"	"bioSample"	"NCBI.Scientific.Name.x"	"Common.Name.x"	"Division.x"	"Genus.x"	"Species.x"	"Subspecies.x"	"NCBI.Scientific.Name.y"	"Common.Name.y"	"Division.y"	"Genus.y"	"Species.y"	"Subspecies.y"
562	4216190	"ERP020599"	"ERA963317"	"E. Coli"	2017	"2017/06/24"	"ILLUMINA"	"Illumina MiSeq"	262735875	"An in vitro Chicken Gut Model Demonstrates Transfer of a Multidrug Resistance Plasmid from Salmonella to commensal Escherichia coli"	"Illumina MiSeq paired end sequencing"	"STATENS SERUM INSTITUT"	"European Nucleotide Archive"	"European Nucleotide Archive"	"EC-49"	"WGS"	"GENOMIC"	"RANDOM RT-PCR PCR"	"PRJEB18652"	"SAMEA104136607"	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA
562	4216167	"ERP020599"	"ERA963317"	"E. Coli"	2017	"2017/06/24"	"ILLUMINA"	"Illumina MiSeq"	226464896	"An in vitro Chicken Gut Model Demonstrates Transfer of a Multidrug Resistance Plasmid from Salmonella to commensal Escherichia coli"	"Illumina MiSeq paired end sequencing"	"STATENS SERUM INSTITUT"	"European Nucleotide Archive"	"European Nucleotide Archive"	"EC-19"	"WGS"	"GENOMIC"	"RANDOM RT-PCR PCR"	"PRJEB18652"	"SAMEA104136584"	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA
562	4216189	"ERP020599"	"ERA963317"	"E. Coli"	2017	"2017/06/24"	"ILLUMINA"	"Illumina MiSeq"	125016230	"An in vitro Chicken Gut Model Demonstrates Transfer of a Multidrug Resistance Plasmid from Salmonella to commensal Escherichia coli"	"Illumina MiSeq paired end sequencing"	"STATENS SERUM INSTITUT"	"European Nucleotide Archive"	"European Nucleotide Archive"	"EC-48"	"WGS"	"GENOMIC"	"RANDOM RT-PCR PCR"	"PRJEB18652"	"SAMEA104136606"	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA
562	4216191	"ERP020599"	"ERA963317"	"E. Coli"	2017	"2017/06/24"	"ILLUMINA"	"Illumina MiSeq"	162337278	"An in vitro Chicken Gut Model Demonstrates Transfer of a Multidrug Resistance Plasmid from Salmonella to commensal Escherichia coli"	"Illumina MiSeq paired end sequencing"	"STATENS SERUM INSTITUT"	"European Nucleotide Archive"	"European Nucleotide Archive"	"EC-4"	"WGS"	"GENOMIC"	"RANDOM RT-PCR PCR"	"PRJEB18652"	"SAMEA104136608"	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA
562	4216166	"ERP020599"	"ERA963317"	"E. Coli"	2017	"2017/06/24"	"ILLUMINA"	"Illumina MiSeq"	171869768	"An in vitro Chicken Gut Model Demonstrates Transfer of a Multidrug Resistance Plasmid from Salmonella to commensal Escherichia coli"	"Illumina MiSeq paired end sequencing"	"STATENS SERUM INSTITUT"	"European Nucleotide Archive"	"European Nucleotide Archive"	"EC-18"	"WGS"	"GENOMIC"	"RANDOM RT-PCR PCR"	"PRJEB18652"	"SAMEA104136583"	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA
562	4216193	"ERP020599"	"ERA963317"	"E. Coli"	2017	"2017/06/24"	"ILLUMINA"	"Illumina MiSeq"	135355525	"An in vitro Chicken Gut Model Demonstrates Transfer of a Multidrug Resistance Plasmid from Salmonella to commensal Escherichia coli"	"Illumina MiSeq paired end sequencing"	"STATENS SERUM INSTITUT"	"European Nucleotide Archive"	"European Nucleotide Archive"	"EC-53"	"WGS"	"GENOMIC"	"RANDOM RT-PCR PCR"	"PRJEB18652"	"SAMEA104136610"	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA
562	4202084	"ERP023526"	"ERA959101"	"Escherichia coli"	2017	"2017/06/21"	"ILLUMINA"	"Illumina MiSeq"	577869772	"An outbreak of NDM-1 producing Klebsiella pneumoniae in a Dutch hospital with interspecies transfer of the resistance plasmid and unexpected occurrence in unrelated healthcare centers."	"Illumina MiSeq paired end sequencing"	"RIVM"	"European Nucleotide Archive"	"European Nucleotide Archive"	"unspecified"	"WGS"	"GENOMIC"	"unspecified"	"PRJEB21292"	"SAMEA104124557"	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA
562	4202081	"ERP023526"	"ERA959101"	"Escherichia coli"	2017	"2017/06/21"	"ILLUMINA"	"Illumina MiSeq"	726989594	"An outbreak of NDM-1 producing Klebsiella pneumoniae in a Dutch hospital with interspecies transfer of the resistance plasmid and unexpected occurrence in unrelated healthcare centers."	"Illumina MiSeq paired end sequencing"	"RIVM"	"European Nucleotide Archive"	"European Nucleotide Archive"	"unspecified"	"WGS"	"GENOMIC"	"unspecified"	"PRJEB21292"	"SAMEA104124554"	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA
562	4216171	"ERP020599"	"ERA963317"	"E. Coli"	2017	"2017/06/24"	"ILLUMINA"	"Illumina MiSeq"	144772535	"An in vitro Chicken Gut Model Demonstrates Transfer of a Multidrug Resistance Plasmid from Salmonella to commensal Escherichia coli"	"Illumina MiSeq paired end sequencing"	"STATENS SERUM INSTITUT"	"European Nucleotide Archive"	"European Nucleotide Archive"	"EC-23"	"WGS"	"GENOMIC"	"RANDOM RT-PCR PCR"	"PRJEB18652"	"SAMEA104136588"	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA
562	4216201	"ERP020599"	"ERA963317"	"E. Coli"	2017	"2017/06/24"	"ILLUMINA"	"Illumina MiSeq"	125301054	"An in vitro Chicken Gut Model Demonstrates Transfer of a Multidrug Resistance Plasmid from Salmonella to commensal Escherichia coli"	"Illumina MiSeq paired end sequencing"	"STATENS SERUM INSTITUT"	"European Nucleotide Archive"	"European Nucleotide Archive"	"EC-7"	"WGS"	"GENOMIC"	"RANDOM RT-PCR PCR"	"PRJEB18652"	"SAMEA104136618"	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA	"Escherichia coli"	"E. coli"	"enterobacteria"	"Escherichia"	"coli"	NA
