NCBI Scientific Name,Common Name,Division,Genus,Species,Subspecies,Taxonomic ID
Arabidopsis thaliana,thale cress,eudicots,Arabidopsis,thaliana,,3702
Setaria italica,foxtail millet,monocots,Setaria,italica,,4555
Oryza sativa Japonica Group,Japanese rice,monocots,Oryza,sativa,,39947
Brachypodium distachyon,stiff brome,monocots,Brachypodium,distachyon,,15368
Clostridium perfringens ATCC 13124,,firmicutes,Clostridium,perfringens,,195103
Sus scrofa domesticus,domestic pig,even-toed ungulates,Sus,scrofa,domesticus,9825
Mus musculus,house mouse,rodents,Mus,musculus,,10090
Canis lupus familiaris,dog,carnivores,Canis,lupus,familiaris,9615
Bauhinia purpurea,camel's foot tree,eudicots,Bauhinia,purpurea,,3806
Homo sapiens,human,primates,Homo,sapiens,,9606
Rattus norvegicus,Norway rat,rodents,Rattus,norvegicus,,10116
Elaphurus davidianus,Pere David's deer,even-toed ungulates,Elaphurus,davidianus,,43332
Odocoileus virginianus,white-tailed deer,even-toed ungulates,Odocoileus,virginianus,,9874
Coffea arabica,coffee,eudicots,Coffea,arabica,,13443
Apis mellifera,honey bee,bees,Apis,mellifera,,7460
Plasmodium falciparum,malaria parasite P. falciparum,apicomplexans,Plasmodium,falciparum,,5833
mouse gut metagenome,,metagenomes,,,,410661
Canis lupus,gray wolf,carnivores,Canis,lupus,,9612
Triticum aestivum,bread wheat,monocots,Triticum,aestivum,,4565
Macaca mulatta,Rhesus monkey,primates,Macaca,mulatta,,9544
Saccharomyces cerevisiae,baker's yeast,ascomycetes,Saccharomyces,cerevisiae,,4932
Mus musculus castaneus,southeastern Asian house mouse,rodents,Mus,musculus,castaneus,10091
Hordeum vulgare subsp. vulgare,domesticated barley,monocots,Hordeum,vulgare,vulgare,112509
Megalobrama amblycephala,Wuchang bream,bony fishes,Megalobrama,amblycephala,,75352
Bos taurus,cattle,even-toed ungulates,Bos,taurus,,9913
Escherichia coli,E. coli,enterobacteria,Escherichia,coli,,562
Thymallus thymallus,grayling,bony fishes,Thymallus,thymallus,,36185
Debaryomyces tyrocola,,ascomycetes,Debaryomyces,tyrocola,,522358
Priceomyces carsonii,,ascomycetes,Priceomyces,carsonii,,28549
Debaryomyces fabryi,,ascomycetes,Debaryomyces,fabryi,,58627
Pogona vitticeps,central bearded dragon,lizards,Pogona,vitticeps,,103695
gut metagenome,,metagenomes,,,,749906
Gallus gallus,chicken,birds,Gallus,gallus,,9031
Bombus terrestris,buff-tailed bumblebee,bees,Bombus,terrestris,,30195
Panicum virgatum,switchgrass,monocots,Panicum,virgatum,,38727
Human gammaherpesvirus 8,,viruses,,,,37296
Gorilla beringei graueri,eastern lowland gorilla,primates,Gorilla,beringei,graueri,46359
Klebsiella pneumoniae,,enterobacteria,Klebsiella,pneumoniae,,573
Drosophila melanogaster,fruit fly,flies,Drosophila,melanogaster,,7227
Betula pendula,European white birch,eudicots,Betula,pendula,,3505
uncultured prokaryote,,unclassified,,,,198431
Punica granatum,pomegranate,eudicots,Punica,granatum,,22663
Paeonia,peonies,eudicots,,,,13625
Plecotus austriacus,gray big-eared bat,bats,Plecotus,austriacus,,109483
Columba livia,rock pigeon,birds,Columba,livia,,8932
Olea europaea,common olive,eudicots,Olea,europaea,,4146
human gut metagenome,,metagenomes,,,,408170
Hirundo rustica,Barn swallow,birds,Hirundo,rustica,,43150
uncultured microorganism,,unclassified,,,,358574
Sus scrofa,pig,even-toed ungulates,Sus,scrofa,,9823
